🍑港澳台🍑,#genre#
八大戏剧台,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧台,http://61.221.215.25:8800/hls/41/index.m3u8
AMC 电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩台,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲台,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一台,http://61.221.215.25:8800/hls/55/index.m3u8
动物星球台,http://61.221.215.25:8800/hls/57/index.m3u8
八大综合台,http://61.221.215.25:8800/hls/56/index.m3u8

台视频道,rtmp://220.130.201.73/sat/tv071
民视频道,rtmp://220.130.201.73/sat/tv051
纬来体育,rtmp://220.130.201.73/sat/tv721
纬来日本,rtmp://220.130.201.73/sat/tv771
东森超视,rtmp://220.130.201.73/sat/tv331

民视频道,rtmp://f13h.mine.nu/sat/tv051
台视频道,rtmp://f13h.mine.nu/sat/tv071
中视频道,rtmp://f13h.mine.nu/sat/tv091
華視频道,rtmp://f13h.mine.nu/sat/tv111
纬来体育,rtmp://f13h.mine.nu/sat/tv721
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
东森超视,rtmp://f13h.mine.nu/sat/tv331
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
ELEVEN体育1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN体育2,rtmp://f13h.mine.nu/sat/tv741

番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u
